gene,log2fc,coef_adjusted,pval,padj
TYROBP,2.1416765615540387,1.4791228314168203,6.264123231385025e-50,9.012306525974712e-48
NPC2,2.699178618278635,1.8820831321490132,1.4224620856123213e-49,1.9953586905926836e-47
HOPX,-2.150243189376166,-1.486037074928533,2.7482463923061304e-49,3.7610757334706576e-47
HLA-DRB1,2.844502754379152,2.031097827270868,1.1668721106829386e-48,1.558885574533802e-46
KLRD1,-1.7498648264451337,-1.211056256821525,1.117177972188283e-46,1.4577873492903384e-44
XCL2,-1.747565246420447,-1.2092016592626609,2.898444850507523e-45,3.696175921863116e-43
S100A4,1.7471070846385486,1.208233537068429,3.5925772515431575e-44,4.479544657424146e-42
APMAP,-1.8412237304099663,-1.271139287518198,5.041044778886855e-44,6.148978750942206e-42
IFITM1,-2.2886221500868906,-1.578868638544142,6.888813790265552e-44,8.224071101527662e-42
HLA-C,-1.9019974117280078,-1.2849989025642992,1.9453250451509016e-43,2.2740039225711892e-41
CFD,2.641110568023967,1.8457851401685077,2.3030167360202053e-43,2.637189164450892e-41
S100A11,2.4043016366581855,1.682238495443591,1.3106584474049336e-41,1.4708209096778165e-39
TPST2,-1.6253662415202448,-1.1210681048163462,7.616717229078583e-41,8.379882425952927e-39
PSAP,2.357596652128674,1.6601322728874917,9.068692373320958e-40,9.785467866673826e-38
LGALS1,2.3897457130197606,1.6600930623371586,9.67503290319303e-40,1.024275653204077e-37
CCL4,-2.333645660238916,-1.6131333732489588,2.1361232258895257e-39,2.2195902630492832e-37
AP1S2,2.2980452515103145,1.624882092358742,1.1026146940115494e-38,1.1248674632906915e-36
GRN,2.3333073703646687,1.641717335988165,1.8318525215482306e-38,1.835450803286986e-36
C12orf75,-1.5014494739032247,-1.036382601450427,1.7753343720869638e-37,1.7476142389087636e-35
MATK,-1.3670646382761382,-0.9474168490749859,2.004746684859269e-37,1.9394195946112686e-35
IL32,-2.266549380727205,-1.5690879598894623,1.2574759973092865e-36,1.1958809865936284e-34
HLA-A,-2.0447977024271133,-1.3882128136769492,2.2190561595641526e-36,2.0751873518857433e-34
MYL12A,-2.406835801018649,-1.654419405939939,2.498762331241855e-36,2.2984517115734502e-34
RARRES3,-2.1357269937300907,-1.4640639860987326,2.7057955960865714e-36,2.4487450144583472e-34
PLAC8,-2.3241451666226034,-1.5874446837816687,2.980227886636844e-35,2.6128216674873955e-33
AES,-1.868087248492086,-1.2858687824674906,2.9566432371896667e-35,2.6128216674873955e-33
RPL28,1.1561908626431192,0.8023563960303344,3.509899717572968e-35,3.029853433123373e-33
HLA-DRB5,2.14961218503015,1.5392420295039662,4.170637167143385e-34,3.545673506794172e-32
IL2RB,-1.3291604359479041,-0.9213738245308329,1.3391398994161643e-33,1.1167296258590024e-31
SERPINA1,2.1022626095252055,1.4783544099701411,1.3533704252078447e-33,1.1167296258590024e-31
GABARAP,2.1806719078106718,1.5297974998170727,8.833127341104095e-33,7.182996740715229e-31
AKR1C3,-1.3719894474749201,-0.9470259909847654,2.0516019043380042e-32,1.6445054693200773e-30
CD68,2.170681779587353,1.524026890542438,2.5404956187339136e-32,2.0077071713684493e-30
MS4A6A,2.223133736378096,1.5444167896028809,6.293699265006251e-32,4.904714802215288e-30
LGALS3,2.1056687259255433,1.4929683799793014,7.969513733522038e-32,6.1256084327112544e-30
S1PR5,-1.1422889030346004,-0.7910185336499878,9.195333655359708e-32,6.972299613543692e-30
IL2RG,-1.670323710334339,-1.1409208315786097,1.9228792460471268e-31,1.4385700599427237e-29
APOBEC3G,-1.5575744641684446,-1.0683201053859406,6.548723531722892e-30,4.834853649539098e-28
TKT,2.103262516657322,1.4751645489533993,1.1540302191702396e-29,8.40943319449898e-28
EVL,-1.7153184993836705,-1.1728240298342234,1.3604050052449774e-29,9.78619549285842e-28
TTC38,-1.2143558251215483,-0.8388184608415548,2.149671599452079e-29,1.5268110562690652e-27
ZAP70,-1.2854294614084378,-0.8921597880095384,2.6961482284434954e-29,1.8910109637245568e-27
ARPC5L,-1.4921622387739824,-1.030314141373418,2.857469303381416e-29,1.9794148470707565e-27
CD53,-1.8361514460880695,-1.2474101120088217,6.249655152358432e-29,4.276440860961361e-27
CD74,1.8116463260972313,1.3048564683830264,6.621240699987465e-29,4.476118261160201e-27
RAP1B,-1.7229404265046084,-1.1806059007883325,7.025609445258449e-29,4.692939833017281e-27
TALDO1,2.034684262643126,1.4273674118652981,1.9725926901322368e-28,1.3021432452155272e-26
LCK,-1.3501246911314533,-0.9366175412892128,3.353729214370252e-28,2.18811332811994e-26
SPI1,1.7518393592596897,1.2517198565339287,4.041583705681248e-28,2.606589215238791e-26
SAMD3,-1.2397984225422396,-0.8544960095369037,4.946696045418924e-28,3.15408085350518e-26
CD14,2.057890397671997,1.4398585402907542,1.1828426283400815e-27,7.457224705186739e-26
CFP,1.8671592301080304,1.3249739241000358,1.470740668339095e-27,9.16925098894518e-26
TSPO,2.0189958332487694,1.4145397220657419,2.3817659429276575e-27,1.4685811764579214e-25
STK17A,-1.3525475827168085,-0.936328846951612,3.980516575848389e-27,2.4276824464223163e-25
SEPT7,-1.544943886306429,-1.0622767775792545,5.282741876410353e-27,3.153347305163669e-25
GSTP1,1.8789116645547403,1.316175316701597,5.2370947841168874e-27,3.153347305163669e-25
PRSS23,-1.091483508143218,-0.7552366360134439,6.613338791381057e-27,3.9060467324672745e-25
HLA-E,-2.008109159466503,-1.3620756035576338,2.1431829837058952e-26,1.2526458043306018e-24
GPR56,-1.0368246699766037,-0.7150751794741126,4.8871334539246374e-26,2.8269799804093956e-24
FCGRT,1.7936820502840074,1.265031710753671,6.951885879133584e-26,3.9803093538590346e-24
LITAF,-1.5557406131622944,-1.0670101343196505,1.7884874612902798e-25,1.013656883363612e-23
XCL1,-0.9910502835709111,-0.6868149060988797,2.9995303694847876e-25,1.6830364903179143e-23
PFDN5,1.518449099027759,1.0458462892527576,4.138638325160457e-25,2.2991979844034972e-23
NCR3,-1.0411459060621826,-0.7206621238192514,1.5110687955873243e-24,8.312359815725957e-23
PLEKHF1,-0.9531485749911145,-0.6577201397061693,1.7357434505170133e-24,9.455588835777633e-23
RPL32,0.8535633108788866,0.5868023842050145,1.1142357795491564e-23,6.011516306779151e-22
HLA-DPA1,2.124787865239311,1.5194634747602893,1.2043522954874059e-23,6.435829266647461e-22
UBB,-1.932932103121352,-1.323455120003149,8.404245866666768e-23,4.448700335647852e-21
PTGDR,-0.9026677113619103,-0.6233502414670021,1.6163561571077523e-22,8.409803750112973e-21
CALM1,-1.8941732330096552,-1.2910896327423342,1.6187111121229746e-22,8.409803750112973e-21
CTSC,-1.5397484624065145,-1.04929329914295,2.492204535126178e-22,1.282913729045228e-20
ITGB7,-0.9966250152073036,-0.6858590682198875,5.317619080363248e-22,2.712469150901653e-20
CHST12,-1.0714101230911381,-0.7373175187367295,6.130443303458115e-22,3.0989114752886016e-20
IFI30,1.5081972132098271,1.0695748536229222,9.73830696201722e-22,4.87871788963202e-20
TBX21,-0.8959071593478187,-0.6189936864410616,1.2553958531975061e-21,6.233651444505493e-20
RAC2,-1.717966688241656,-1.1607467449511808,2.5520568077814612e-21,1.2561044516194543e-19
NEAT1,1.7103143201915154,1.197778415302877,2.664348951874084e-21,1.2999706059969987e-19
NCF2,1.5886501813354963,1.1127362354428207,3.087413933880831e-21,1.493403412328047e-19
CDA,1.5453857097364956,1.0795763734540382,4.9120003724910375e-21,2.355661033337368e-19
HLA-DMA,1.5069446635635932,1.0787970720359454,5.5107081958172094e-21,2.6203884480279968e-19
HLA-B,-1.3286148209880417,-0.8869582082925778,5.8415135842845646e-21,2.7543472875143436e-19
HLA-DPB1,1.9648233620187954,1.4141728015567727,2.1699778641615964e-20,1.0146454829842265e-18
ANXA6,-1.3075008549069165,-0.8961806843806017,2.6790523464110613e-20,1.2423274971663194e-18
PRKCH,-0.8062255161855256,-0.5565102185957924,3.6717860603253924e-20,1.688720621679162e-18
SH2D1B,-0.8053619912955435,-0.5544057074374108,3.7958948368857744e-20,1.7220988514726128e-18
BRI3,1.5276512027448246,1.0711323584972134,3.80574331817152e-20,1.7220988514726128e-18
CTSH,1.366100245561425,0.9681633606210028,4.796218085825259e-20,2.152926374365242e-18
ATP5G2,1.5435203859052375,1.0827795022301927,9.721473698672408e-20,4.329141978035784e-18
ARL4C,-1.0507789983023101,-0.7279983473523675,1.409950509444921e-19,6.229316778342875e-18
RPL18A,0.9674237369520056,0.67247853688758,2.7150172593518566e-19,1.1901532689236927e-17
RHOC,-1.3140128059991858,-0.8966527543324558,3.448394402049683e-19,1.4999179061938584e-17
KLRF1,-0.7360989023656119,-0.5081858659929108,4.008055469565842e-19,1.729938403056457e-17
FCRL6,-0.7866260293278983,-0.5442359948607749,5.700233188368105e-19,2.4415273603002622e-17
CAPG,1.434561121416407,1.0128962697911716,7.335247921193591e-19,3.1180360671073666e-17
BLVRB,1.4015528352016098,0.9919036533162193,7.553098084313653e-19,3.1864987482017974e-17
RAC1,1.5683177044198917,1.091465528530083,1.2314881329331462e-18,5.156626801408868e-17
KLRG1,-0.853854219532821,-0.5911325583924667,1.3671129149629912e-18,5.682126345079514e-17
PDIA3,-1.3724691930795019,-0.9339456622673972,1.647175775686338e-18,6.795811233364737e-17
NUP214,1.3758251765371134,0.9571283076685493,3.0564215127817122e-18,1.25179424147578e-16
FOS,1.4409153644178352,1.0051497709974098,3.3730663138147455e-18,1.3714692091894592e-16
IFITM3,1.6902248547615797,1.2051173704547207,4.708660990846978e-18,1.900740778391539e-16
C1orf21,-0.7716281102767562,-0.5366907137963646,4.93895648294012e-18,1.9794632018412153e-16
RPL11,0.6516305692989233,0.4527034227523767,5.081097121864138e-18,2.0219883653035234e-16
CCND3,-1.45097050208318,-0.9964502080043384,5.264680832460382e-18,2.0802904331644513e-16
CD3E,-1.0829928106614466,-0.7521107692123725,9.177655907043907e-18,3.6011068038058296e-16
RPS9,1.138284716965887,0.7912184236492672,1.2773992084579234e-17,4.977421499067645e-16
TNFSF13B,1.392566311737401,0.9778081550677327,1.376993732456769e-17,5.328490919182711e-16
LY86,1.2844454626715265,0.9085401700923189,5.5324381471283155e-17,2.1261993454477384e-15
IGFBP7,-1.3070842269352014,-0.8863372423724373,5.808996058342229e-17,2.2172977471672277e-15
RPLP1,0.7465698080894178,0.517036509821882,1.0158425304406173e-16,3.851278674528583e-15
TMSB10,0.7127456361789275,0.4981810044555746,1.2221999769706058e-16,4.602526222001388e-15
RNF130,1.326032587476662,0.9356458690422331,1.261962819101297e-16,4.720582251984918e-15
PYCARD,1.4690008192343351,1.0387236710260568,3.7845003036814863e-16,1.4062802121825709e-14
MT-ND1,1.1903933963855076,0.8281222154507478,4.355804410871063e-16,1.6079222729866798e-14
TIGIT,-0.710721443373935,-0.49132176696604646,5.021712409661383e-16,1.8416227667065372e-14
CD2,-0.8354524198558022,-0.575933982578823,7.819486717093576e-16,2.849035062961822e-14
ALOX5AP,-1.2115482943375382,-0.840721309121357,7.962221648812973e-16,2.8823242368702966e-14
CSF3R,1.307401104969416,0.9100919595856807,8.450754070723689e-16,3.03956289043786e-14
FKBP11,-0.7142606743460407,-0.49232326124595277,1.1264622122851878e-15,4.025846798173369e-14
SKAP1,-0.7148812737416791,-0.4965303439348363,1.1919017258298533e-15,4.232759863057789e-14
RPL8,0.9966023134973897,0.6969004207809371,1.9023176873623644e-15,6.713147511817752e-14
SLC7A7,1.14926632517143,0.8180637086119618,1.9328550142235764e-15,6.778280928005305e-14
AMICA1,1.2779506238530178,0.8985901872485024,2.0806064400571557e-15,7.25110728891969e-14
S100A10,1.515936776463955,1.0657496830083546,2.7195531448900273e-15,9.419390553072805e-14
ANXA5,1.26673382937242,0.9078404112349129,2.856884687361194e-15,9.834343546493043e-14
CTSB,1.2967085995999734,0.9154876738369772,3.6638422791937545e-15,1.2535255505217167e-13
KLRC1,-0.5887593445752962,-0.40840535093349084,3.691109240366704e-15,1.2552008453150046e-13
HCST,-1.5095001537727637,-1.0252597274992041,4.578639153961066e-15,1.5476351983659965e-13
MNDA,1.187428243501982,0.8360870802065719,5.201871498440779e-15,1.747766525613845e-13
FPR1,1.1863192993692186,0.8345899482124772,5.903155814229563e-15,1.971583766288219e-13
ANXA2,1.3744611821331205,0.9921335995855227,6.3523516974883525e-15,2.1090559393258668e-13
DENND2D,-0.8579755257867719,-0.5952645953267249,6.606553638137063e-15,2.1805513213874743e-13
AP2S1,1.4102718396524017,0.9980501639581346,8.429026855224282e-15,2.7658052447171605e-13
IFI6,1.5424685400125606,1.0838887070701888,1.2008900447477268e-14,3.9175546750462183e-13
LINC00936,1.4269153746983245,0.995959231107198,1.5698031464626574e-14,5.091425118382642e-13
CYB5B,-0.6754758778497263,-0.46800728058780106,2.023532536113231e-14,6.525310954098469e-13
TMIGD2,-0.5456410582295288,-0.37670954625856384,2.099303158068134e-14,6.730965725668743e-13
CPVL,1.0840993470370979,0.7802411907926208,2.322609475379158e-14,7.404637367245714e-13
FASLG,-0.5510923923139273,-0.3812861212907747,2.387036481443223e-14,7.567040506993177e-13
SERP1,1.337758880560441,0.9443569702400759,3.029534806089503e-14,9.549842582566405e-13
RPS2,0.616447390481315,0.4295670540416986,3.126896733627298e-14,9.801685794627245e-13
VCAN,1.0840363153955568,0.7665904499530912,3.3027477545390125e-14,1.0295398694843554e-12
PTPN7,-0.7235612811263878,-0.4999892018486336,3.937352099371118e-14,1.2205791508050466e-12
CEBPB,1.3694084178420964,0.9745035720610448,4.2308364563850004e-14,1.304352931691002e-12
TIMP1,1.3707036191857442,0.9682073097878622,5.777660743547869e-14,1.7715002421883656e-12
ODF3B,1.105092065349365,0.7743727789737673,6.258683582476543e-14,1.908558346808472e-12
BIN2,-1.2067833430127333,-0.8254277987989783,7.354665766610716e-14,2.2306502495379854e-12
RAMP1,-0.5775888134277805,-0.40006132255174565,8.40997825467121e-14,2.5370101068258152e-12
SLC25A6,1.332059461502173,0.9416277187348653,9.285984293167974e-14,2.7862918646505614e-12
LAT,-0.6279547926462082,-0.43377864253828574,9.847749178545799e-14,2.939134076639387e-12
GPX4,1.378428133957922,0.9716858789435895,1.1231933915002537e-13,3.3345175236549857e-12
HCK,0.9605647248702951,0.6882250416662475,1.2139516547601e-13,3.5849909130836427e-12
CD99,-1.4287114755126102,-0.974006362731572,1.29368056582562e-13,3.800440656988248e-12
RPS27A,-1.2749462589250955,-0.8726418097318617,3.1227792378217564e-13,9.125997033030144e-12
UBA52,0.8730142047261685,0.6041050256996092,3.211581991624579e-13,9.336884225391457e-12
ALDH2,1.1161612987155225,0.7889424194519297,3.276135279124224e-13,9.475461366580421e-12
HAVCR2,-0.8511418811460637,-0.5836686733690943,3.467665331891158e-13,9.977984706277584e-12
FOSB,1.383734486667643,0.9615851965171531,3.663944599654848e-13,1.0488976096256812e-11
IGSF6,1.0484039178938949,0.7441709227797219,4.04395006374742e-13,1.1518072998825774e-11
XBP1,-1.1756390047679872,-0.8021183722703954,4.150869605029384e-13,1.1762893613040339e-11
ATP6V0B,1.328166204243266,0.9303534005731632,4.1855709933777086e-13,1.180162755971976e-11
MIB2,-0.5793825494806168,-0.40183351556493707,5.904845113153125e-13,1.6566042964951092e-11
DHRS7,-1.191832031259975,-0.8136567355511223,6.333676112014627e-13,1.7680724708713468e-11
PTPN4,-0.5801626627849306,-0.40336252140008055,7.980659090266937e-13,2.2168058492815733e-11
ID2,-1.413431676896704,-0.9470057352352151,9.647222881724486e-13,2.6665304231209896e-11
OPTN,-0.6152519820708304,-0.42546220371967547,1.066461422408157e-12,2.9332916868294947e-11
BLVRA,1.100882446004196,0.779741541022886,1.0985344268576042e-12,3.006769106877082e-11
TGFBI,0.9574901050294952,0.6795691937749777,1.192798740709735e-12,3.2489289971467593e-11
PIM1,-0.7722559329437308,-0.533386801287338,1.2201175795599364e-12,3.3072848980245426e-11
PLBD1,1.0668263554890172,0.7580048776017304,1.2912066665809858e-12,3.483154137589381e-11
ARPC1B,1.1441106292638645,0.8135356252727028,1.5524323849998808e-12,4.147951482016348e-11
FAU,0.8539392649536727,0.5959060380500066,1.550620693966654e-12,4.147951482016348e-11
BZW1,-0.8731250475446496,-0.6043440021063122,1.7739884117081338e-12,4.717463970660824e-11
CD160,-0.6437527749891642,-0.44549908038706376,1.8787167928157866e-12,4.972396190796877e-11
PILRB,-0.4841288834086824,-0.33720484738985634,2.8685976902906105e-12,7.556667436723294e-11
PPP1R18,-1.116432085399306,-0.7630405168377418,3.2440533879462785e-12,8.505786710171294e-11
HMOX2,-0.7939362378941474,-0.5475136866610433,3.4005596780657386e-12,8.87466993191947e-11
APOBEC3A,1.1465160646101573,0.8129568805069015,3.958229421284435e-12,1.0282233927234705e-10
YWHAQ,-0.8763380274280685,-0.5979764523280195,3.9797381613894195e-12,1.0290465817306928e-10
KIR2DL3,-0.4837049891699683,-0.33434801874716774,5.219673439969274e-12,1.3434673243884217e-10
ABI3,-0.9875494907212732,-0.6645420487775022,5.337888299172212e-12,1.3676206048701042e-10
SH2D2A,-0.6070374027350192,-0.422824804697163,5.567781442532703e-12,1.4200373488204998e-10
RPA2,-0.6769512740158156,-0.46300536551177224,5.8110008189308166e-12,1.4753631490959644e-10
DSTN,-0.7603678041854901,-0.5248167429847712,5.871001957938618e-12,1.4838825218916027e-10
SH2D1A,-0.5442938751296578,-0.3784460248201492,6.124498261651151e-12,1.5410116478082786e-10
CEBPD,1.281917489686494,0.9067530107793443,6.677394164249436e-12,1.6726276185537316e-10
C5orf56,-0.8392663931126613,-0.5785773804468513,7.2196244186361256e-12,1.8004138939096578e-10
KIR3DL2,-0.48156586895853665,-0.33332352116805875,7.27640328975442e-12,1.8065441972925684e-10
DDX5,-1.2995163883579597,-0.8810815025094247,7.772448822056113e-12,1.9136845649166364e-10
IFITM2,-1.3875396888093081,-0.9392648755383428,7.776155423293408e-12,1.9136845649166364e-10
RPL29,0.8678303036638617,0.6093437380904584,8.834481350840534e-12,2.155229341720271e-10
S100B,-0.6204924224296083,-0.4289849942539887,8.832141758164923e-12,2.155229341720271e-10
ISG20,-0.940025868773655,-0.6468037071757511,9.533473960930155e-12,2.3156849521549394e-10
TMED9,-0.9496176851775756,-0.6438919405509582,1.046110030592148e-11,2.5300531817467856e-10
SYTL1,-0.7244392525590424,-0.4973472101722194,1.0679792934504741e-11,2.571859148304983e-10
UCP2,-1.2922772946178425,-0.8777998748869561,1.1246897854357705e-11,2.696852301743636e-10
CD320,-0.4861596975457331,-0.33598419064416224,1.4657559430196268e-11,3.4997262111843093e-10
LYAR,-0.8922158957123503,-0.6165465053468566,1.4907288348510587e-11,3.544270971334445e-10
PYHIN1,-0.5100734981872422,-0.35250080742944184,1.6193069323759172e-11,3.833726243696739e-10
RPL12,0.7602155995394765,0.5313791048942427,1.6422014276736188e-11,3.8715933658305357e-10
ETS1,-0.4389474071918394,-0.3031695149423618,1.9507905284243523e-11,4.5798684748908117e-10
KLRB1,-0.5540954673719682,-0.3829536914174532,2.5312776158123365e-11,5.917916125967925e-10
HSPA8,-1.2167339152263537,-0.8130720852200161,2.7210194279622016e-11,6.33512033622237e-10
PLEK,-1.050742280006351,-0.7214560557281215,3.363436827386128e-11,7.798447949778332e-10
TXK,-0.5319538619562749,-0.36754150846862876,3.402449867283498e-11,7.856438767624571e-10
ANKRD44,-0.5435947226582377,-0.37731837672003865,3.8295575283924534e-11,8.806412824512318e-10
JAK1,-0.8534538439216124,-0.5849324710584609,3.9988976520081576e-11,9.158291724660315e-10
NFKBIA,1.3725612037977135,0.9529714060604765,4.386806216374933e-11,1.0005841333365751e-09
HSPA5,-0.8128631865955758,-0.5520688858437599,5.149059334673606e-11,1.1696911711276763e-09
ADA,-0.58150902896721,-0.4023072894847436,5.30663026655864e-11,1.2006250978088923e-09
ASGR1,0.9154100779469866,0.6431369615363972,6.114359351528841e-11,1.3778180851979248e-09
GIMAP7,-1.1587037871462011,-0.7791156249027212,6.293652790782346e-11,1.4074311225353876e-09
GAPDH,1.0555524627683328,0.7542372116613533,6.295940327149926e-11,1.4074311225353876e-09
RPL23,1.1583308427678052,0.8213248264064718,6.376361000786535e-11,1.4197524434687797e-09
RCN2,-0.6087288091105922,-0.42373215241392537,6.942858367747826e-11,1.5397777984756147e-09
CCDC107,-0.7287028744565823,-0.501410617950945,7.284271439932296e-11,1.609135710608666e-09
PILRA,0.8136924869380362,0.5807267745576837,7.928352464457283e-11,1.7445484579635222e-09
RPL10,0.42088488628931015,0.29409557016944377,8.231549749771092e-11,1.804188501795531e-09
IFNGR2,0.9726416905791831,0.6840439509725732,8.316031463037979e-11,1.815612939264829e-09
RASSF5,-0.7672656843462956,-0.5243088667983724,8.737690647917338e-11,1.9002783808319454e-09
GIMAP5,-0.7118725662518225,-0.4856908644573809,9.556767932956526e-11,2.0703870606879947e-09
TBC1D10C,-0.8748625882663166,-0.6024153415367001,1.1230010943306208e-10,2.4235227462650438e-09
CD164,-0.9596438437662501,-0.653560868341291,1.3574915812165628e-10,2.91834684375714e-09
RGS2,1.2069893782284669,0.8443403004896614,1.4420818538227352e-10,3.0883669014501403e-09
LPCAT1,-0.5994712409886235,-0.41411442702244383,1.586277386122528e-10,3.3842594728264273e-09
SUN2,-0.8190599794801391,-0.5598017835625134,1.6280477008442572e-10,3.4602180490292147e-09
TXNIP,-1.2603193064518645,-0.8597881447363988,1.651808898139245e-10,3.4974715952676617e-09
MPEG1,0.8158479455012998,0.5764264747287586,1.7500906362767176e-10,3.6916385564468656e-09
CHST2,-0.46940906030398544,-0.32381480090966047,1.9271554292294288e-10,4.049913525620347e-09
TBCC,-0.6163021081369987,-0.42578124931403283,1.972745525537075e-10,4.130251919324078e-09
CYBA,0.7514689058818957,0.5228895702206184,2.0941747470515088e-10,4.368183831117478e-09
STOM,-0.575827754078608,-0.39850519918734506,2.605923641731506e-10,5.415495390279807e-09
ODF2L,-0.5166720855398838,-0.359179290220136,2.7459673723785613e-10,5.685469714544689e-09
HNRNPA2B1,-1.1236487354034856,-0.7396541268086512,3.125995121104247e-10,6.44851420018968e-09
BIN1,-0.5622153702584795,-0.38231632223027723,3.2785618988100586e-10,6.738465499715472e-09
GYPC,-0.717876652576094,-0.4911457636493058,3.3298407792139604e-10,6.818881975244355e-09
SMCO4,0.8698605588572972,0.6042631769900204,3.5836286812757055e-10,7.311905647504721e-09
ACAP1,-0.6943285300459819,-0.4793682071173605,3.805284783084292e-10,7.736033665900711e-09
LAMTOR4,1.1420726348511403,0.7936947580201096,3.9452842603210907e-10,7.99169313525691e-09
NCF1,0.9732542927815565,0.6791358109106413,4.119271915484324e-10,8.314113207835446e-09
DDIT4,-0.7811501877157518,-0.5338518614218581,4.379208069856178e-10,8.807074007155203e-09
PLA2G16,-0.46712212100413725,-0.32167002366285935,4.6275879932790334e-10,9.273355796531664e-09
DCK,-0.6266774345025875,-0.43160346985904746,5.219958271683925e-10,1.0423197815807296e-08
IFNG,-0.3963749937799106,-0.2722662553957098,5.846598502767533e-10,1.1633072411003061e-08
GNPTAB,-0.5742800392078309,-0.3937592811243409,6.347661565866381e-10,1.2585416624055217e-08
PKM,1.0684752391541643,0.7595365024999466,6.454503529427088e-10,1.2752189895639223e-08
PRMT2,-0.8356881220788097,-0.5725388585971265,7.147792975124647e-10,1.4072374169622595e-08
PATL2,-0.43464809889424544,-0.30120396028133783,7.573676872620821e-10,1.4806934122744053e-08
RBP7,0.9338730174563872,0.6288106685385471,7.553448818940002e-10,1.4806934122744053e-08
BST1,0.7850243549004129,0.5524416752782845,7.690105936634866e-10,1.4982355698075777e-08
CD69,-0.7111755205678755,-0.4901182910817901,7.80758191740788e-10,1.5158595895700903e-08
C19orf38,0.8401859843468248,0.5813629767211462,8.769562644907262e-10,1.6967591724336088e-08
HLA-DMB,0.7685473850518507,0.5579890216032521,1.1150276444907105e-09,2.149972547504253e-08
PGD,0.8397189654584067,0.5851989531272509,1.1430070503566152e-09,2.1963741642297835e-08
GTF3C1,-0.4363152127203841,-0.30163593518211945,1.1711873405804722e-09,2.2428437433436964e-08
C9orf142,-0.8680433901682808,-0.5958815170046745,1.2618443438378386e-09,2.408234222202079e-08
C20orf27,0.7599044829240656,0.5386437858054858,1.2678944547925687e-09,2.4115782324885098e-08
